Tilltalsnamn,Antal bärare
Abdelsalam,19
Abdel-Salam,2
Abdelsamad,2
Abdelsatar,5
Abdelsattar,3
Abdeltif,2
Abdelwahab,24
Abdelwahad,3
Abdelwaheb,2
Abdelwahed,5
Abdelwasie,3
Abdelwehab,2
Abdelwhab,2
Abdenacer,2
Abdenbi,3
Abdennabi,2
Abdennacer,2
Abdennaceur,3
Abdennour,8
Abdenor,2
Abdenour,10
Abdenur,3
Abderahim,4
Abderahman,8
Abderahmane,2
Abderazak,2
Abderrachid,2
Abderrahim,69
Abderrahman,34
Abderrahmane,46
Abderrahmen,2
Abderrahmene,3
Abderraouf,3
Abderrazak,22
Abderrazek,4
Abderrazzak,6
Abderrezak,5
Abdesalam,3
Abdesamad,2
Abdeslam,23
Abdeslem,2
Abdessadek,5
Abdessalam,4
Abdessalem,7
Abdessamad,22
Abdessatar,4
Abdessattar,2
Abdesselam,6
Abdesslam,7
Abdesslem,2
Abdi,1149
Abdi Aziz,11
Abdi Fataah,2
Abdi Fatah,6
Abdi Hamid,3
Abdi Latif,2
Abdi Mahad,2
Abdi Malik,4
Abdi Naasir,2
Abdi Najiib,2
Abdi Nasir,2
Abdi Qadir,2
Abdi Qani,3
Abdi Rahman,8
Abdi Rashid,4
Abdi Rizak,2
Abdi Salam,2
Abdi Samad,2
Abdi Shakur,2
Abdi Shakuur,2
Abdiadiim,2
Abdiasiis,4
Abdiasis,78
Abdiaziiz,8
Abdiazis,3
Abdiaziz,292
Abdi-Aziz,8
Abdiazziz,2
Abdibaasid,3
Abdibari,2
Abdibasid,22
Abdibasit,7
Abdicasiis,3
Abdicasis,3
Abdidahir,3
Abdideeq,3
Abdifadil,2
Abdifataah,12
Abdifataax,2
Abdifatah,464
Abdi-Fatah,5
Abdifatax,2
Abdifatha,3
Abdifattah,4
Abdifetah,8
Abdifitaah,5
Abdifitah,70
Abdigadar,5
Abdigadir,7
Abdigafar,5
Abdigani,47
Abdighani,2
Abdihaafid,2
Abdihafid,61
Abdihafiid,4
Abdihafit,2
Abdihaken,2
Abdihakiim,8
Abdihakiin,5
Abdihakim,132
Abdi-Hakim,2
Abdihakin,47
Abdihalim,10
Abdihamid,45
Abdihamiid,5
Abdii,3
Abdijabar,29
Abdijabbar,3
Abdijalil,6
Abdijamal,3
Abdijibaar,3
Abdijibar,11
Abdikaadir,2
Abdikaafi,11
Abdikadar,21
Abdikader,12
Abdikadir,162
Abdikafar,2
Abdikafi,62
Abdi-Kafi,2
Abdikalik,2
Abdikaliq,3
Abdikamil,4
Abdikani,56
Abdikareem,2
Abdikariim,11
Abdikariin,5
Abdikarim,219
Abdi-Karim,2
Abdikarin,57
Abdikeni,2
Abdikerim,2
Abdikhadar,34
Abdikhader,3
Abdikhadir,5
Abdikhafar,2
Abdikhalaq,5
Abdikhalik,6
Abdikhaliq,12
Abdikhani,14
Abdikhayr,2
Abdikrim,2
Abdil,9
Abdilaahi,11
Abdiladhif,3
Abdiladif,22
Abdiladiif,7
Abdilahi,39
Abdilatif,8
Abdilaziz,6
Abdilkadir,5
Abdillah,5
Abdillahi,87
Abdillatif,2
Abdilmajid,3
Abdilrahman,4
Abdimaalik,7
Abdimahad,14
Abdimain,3
Abdimajib,2
Abdimajid,51
Abdimajiid,9
Abdimalek,3
Abdimalig,5
Abdimalik,144
Abdi-Malik,6
Abdimanan,2
Abdimudalib,8
Abdimuhsin,2
Abdimunim,3
Abdin,15
Abdinaasir,13
Abdinafa,7
Abdinajib,39
Abdinajiib,2
Abdinaser,14
Abdi-Nasir,4
Abdinasir,291
Abdinasser,7
Abdinassir,7
Abdinejib,4
Abdinoor,10
Abdinor,5
Abdinour,4
Abdinur,42
Abdi-Nur,2
Abdinuur,11
Abdiqaadir,12
Abdiqadar,19
Abdiqader,4
Abdiqadir,49
Abdiqafar,24
Abdiqalik,2
Abdiqaliq,8
Abdiqani,166
Abdiqeys,2
Abdirabi,11
Abdirachid,2
Abdiraham,2
Abdirahaman,11
Abdirahem,2
Abdirahiim,9
Abdirahiin,2
Abdirahim,172
Abdi-Rahim,2
Abdirahin,21
Abdirahmaan,41
Abdirahman,1914
Abdi-Rahman,3
Abdirahman Abdullahi,2
Abdirahman Ahmed,2
Abdirahman Omar,2
Abdiraman,2
Abdiraouf,2
Abdirasak,13
Abdirasaq,19
Abdirashid,237
Abdirashiid,18
Abdirask,2
Abdirauf,6
Abdiraxmaan,3
Abdiraxman,7
Abdirazak,53
Abdirazaq,10
Abdiresak,2
Abdireshid,2
Abdirezak,5
Abdirhaman,3
Abdirhman,4
Abdirihin,2
Abdirihman,11
Abdirisaak,6
Abdirisaaq,35
Abdirisack,6
Abdirisag,3
Abdirisak,150
Abdirisakh,4
Abdirisaq,139
Abdirizaak,5
Abdirizack,3
Abdirizag,2
Abdirizah,2
Abdirizak,224
Abdirizaq,19
Abdirrahman,3
Abdirsaaq,2
Abdirsaq,2
Abdirzak,3
Abdisahal,5
Abdisalaam,15
Abdisalaan,13
Abdi-Salam,2
Abdisalam,117
Abdi-Salan,2
Abdisalan,97
Abdisamad,81
Abdi-Samad,2
Abdisamed,30
Abdisataar,2
