Tilltalsnamn,Antal bärare
Komsan,5
Konan,3
Kondwani,2
Kong,7
Kongphop,2
Konnor,2
Konny,169
Konrad,992
Konrád,6
Konsta,5
Konstadinos,7
Konstandinos,12
Konstantin,443
Konstantinas,5
Konstantine,10
Konstantino,4
Konstantinos,873
Konstantins,13
Konstanty,15
Koohyar,4
Koon,7
Koorosh,11
Koos,2
Koosha,9
Kooshin,3
Koppány,8
Korab,34
Korak,2
Korakot,4
Koral,2
Koran,6
Korawit,2
Koray,53
Korban,4
Korbinian,3
Kordian,14
Kordo,4
Koresh,3
Korey,3
Korhan,3
Koriakos,3
Korial,2
Korkiat,2
Korkis,8
Korkut,2
Kornel,41
Kornél,10
Kornelije,2
Kornelijus,7
Kornelis,13
Kornelius,16
Korneliusz,6
Koroles,2
Korosh,38
Koroush,9
Korrakot,2
Korsh,2
Korush,6
Koryakos,2
Koryun,2
Kosae,3
Kosai,30
Kosaj,2
Kosala,2
Kosar,15
Kosay,19
Kosh,2
Kosha,3
Koshaba,2
Koshan,6
Koshin,14
Koshyar,2
Kosi,2
Kosisochukwu,3
Kosma,6
Kosmas,28
Kosmo,2
Kosmos,6
Kosovar,10
Kosove,3
Kosrat,10
Kosret,3
Kossai,6
Kossay,2
Kossi,3
Kossivi,2
Kosta,52
Kostadin,30
Kostandin,7
Kostandinos,4
Kostantin,7
Kostantinos,9
Kostas,26
Koste,3
Kosti,14
Kostiantyn,26
Kostin,2
Kostja,2
Kostyantyn,4
Kotaiba,14
Kotayba,2
Koti,3
Kotiba,3
Kotse,2
Kotte,3
Kotten,2
Kouadio,2
Kouame,5
Kouassi,6
Kouder,2
Kouider,5
Koukou,2
Kouri,2
Kouria,2
Kourie,9
Kourkis,2
Kouros,4
Kourosh,93
Kouroush,3
Kousai,11
Kousay,13
Kousha,6
Koushik,9
Koussai,2
Koussay,6
Koustubh,2
Koutaiba,3
Kow,3
Kovan,53
Kowan,2
Kovid,2
Kovidh,2
Kovit,3
Kowshik,4
Koyar,8
Kozhin,5
Kozma,3
Kraisorn,4
Kraiwut,2
Kranthi,6
Kranti,3
Krar,3
Krasen,3
Krasimir,33
Krasnodar,2
Krassimir,3
Krastyo,2
Krekar,2
Krellos,3
Krem,2
Kremtim,2
Krenar,44
Kreshnik,66
Kresimir,39
Kresnik,4
Kreso,8
Kresten,5
Krestian,5
Kriangkai,2
Kriangkrai,9
Kriangsak,5
Kriday,3
Kridsada,2
Krikor,27
Krikour,2
Krille,11
Krim,4
Kris,39
Krisada,5
Krischan,2
Krish,24
Krishan,13
Krishank,2
Krishantha,2
Krishav,2
Krishiv,5
Krishna,78
Krishnachandran,2
Krishnakant,2
Krishnakumar,5
Krishnamoorthy,2
Krishnamurthy,2
Krishnan,8
Krishnaraj,3
Krishnendu,4
Krisjanis,5
Krisna,2
Krispin,5
Kriss,9
Krissada,3
Krist,4
Krista,2
Kristan,2
Kristaps,58
Kristean,3
Kristel,2
Kristen,15
Krister,6831
Kristers,12
Kristher,8
Kristhofer,3
Kristhoffer,3
Kristi,13
Kristiaan,2
Kristián,6
Kristian,5954
Kristianas,2
Kristiano,7
Kristians,16
Kristijan,214
Kristijonas,12
Kristinn,16
Kristiyan,13
Kristjan,89
Kristján,17
Kristmann,2
Kristmundur,3
Kristo,36
Kristof,36
Kristóf,24
Kristofer,2215
Kristófer,8
Kristofers,13
Kristoff,7
Kristoffer,7183
Kristoffer Robin,3
Kristoffer-Robin,4
Kristofher,4
Kristofs,2
Kristopher,92
Kristos,17
Krists,6
Kristupas,25
Krisztian,51
Krisztián,32
Krisztofer,3
Krit,6
Krithin,2
Krithvik,2
Kritsada,18
Kritsana,13
Krittamet,3
Krittaphat,2
Kriv,2
Kriztofer,2
Krmang,2
Krmanj,6
Krobbe,2
Kron,5
Krsta,7
Krste,18
Krstian,3
Krsto,10
Krum,4
Krume,2
Krunal,4
Krunislav,3
Kruno,5
Krunoslav,23
Kruse,2
Krushna,2
Krut,8
Kryspin,5
Krystian,322
Krystof,7
Krystoff,2
Krystyn,3
Krysztof,12
Krzystof,11
Krzystztof,2
Krzysztof,1586
Kråk,10
Krång,9
Ksanet,2
Ksawery,21
Ksawery Jan,2
Ksawier,2
Ksen,2
Kshitij,3
Kshitiz,2
Ku,9
Kual,2
Kuan,7
Kuang,5
Kuba,31
Kubanychbek,2
Kubilay,36
Kubrom,26
Kubron,3
Kudakwashe,3
Kudrat,5
Kudret,10
Kudus,36
Kudzai,2
Kuentin,2
Kuflom,3
Kuflu,5
Kuhdar,2
Kui,6
Kuisma,2
Kujtim,115
Kulane,2
Kuldeep,13
Kuldip,13
Kule,4
Kuliana,2
Kuljeet,2
Kullervo,18
Kulmiye,5
Kulubrhan,3
Kulwant,8
Kulvinder,4
Kulwinder,11
Kulvir,3
Kum,2
Kumail,19
Kumar,42
Kumara,5
Kumaran,5
Kumaraswamy,3
Kumaravel,3
Kumaresan,2
Kumars,4
Kumayl,4
Kumel,3
Kun,30
Kunal,32
Kundan,5
Kung,3
Kungs,2
Kuniaki,2
Kuno,70
Kunta,2
Kuntal,3
Kunwar,3
Kuo,9
Kuorosh,3
Kurban,3
Kurbiel,3
Kurbin,2
Kurda,3
Kurdawan,2
Kurddost,2
Kurdo,24
Kuresh,2
Kuriakus,2
Kurosh,10
Kurre,11
Kursad,2
Kurt,1784
Kurt Allan,7
Kurt Anders,4
Kurt Arne,18
Kurt Bertil,3
Kurt Erik,18
Kurt Erland,2
Kurt Göran,10
Kurt Inge,17
Kurt Ingvar,2
Kurt Ivan,4
Kurt Lennart,24
Kurt Ola,2
Kurt Olof,12
Kurt Olov,3
Kurt Ove,18
Kurt Åke,16
Kurta,3
Kurt-Allan,11
Kurt-Anders,2
Kurt-Arne,16
Kurt-Benny,2
Kurt-Edvin,2
Kurt-Eric,5
Kurt-Erik,25
Kurt-Erland,3
Kurtes,7
Kurtesh,4
Kurt-Eve,2
Kurt-Evert,2
Kurt-Göran,25
Kurth,46
Kurt-Henrik,4
Kurt-Håkan,2
Kurt-Inge,20
Kurt-Ingvar,6
Kurtis,6
Kurt-Ivan,7
Kurt-Ivar,2
Kurt-Ive,2
Kurt-Jörgen,3
Kurt-Lennart,36
Kurt-Mikael,3
Kurt-Ola,4
Kurt-Olof,19
Kurt-Olov,9
Kurt-Ove,24
Kurt-Roland,2
Kurt-Rune,3
Kurtulus,5
Kurt-Urban,2
Kurt-William,2
Kurt-Åke,28
Kurubel,3
Kuryakos,4
Kuryo,2
Kus,2
Kusai,49
Kusal,2
Kusay,20
Kusha,2
Kushagr,2
Kushagra,5
Kushal,12
Kushan,2
Kushtrim,142
Kusi,3
Kussai,5
Kustrim,7
Kutaiba,23
Kutaibah,4
Kutay,7
Kutbettin,5
Kutiba,3
Kutshi,2
Kutsi,2
Kutte,2
Kuzey,37
Kuzman,3
Kwabena,12
Kwadjo,3
Kwadwo,12
Kwaku,10
Kwame,38
Kwan,10
Kwanchai,2
Kwang,2
Kwang-Sup,2
Kwanza,2
Kvarn,2
Kwasi,11
Kweku,4
Kwesi,6
Kwizera,3
Kwok,26
Kwon,4
Kwong,2
Kwun,2
Ky,14
Kyan,28
Kyarash,2
Kyaw,29
Kyazim,5
Kücük,6
Küçük,3
Kye,4
Kyi,2
Kyiam,3
Kylar,2
Kyle,139
Kyler,3
Kylian,23
Kylo,10
Kymani,3
Kyo,2
Kyork,3
Kyprianos,2
Kyriacos,2
Kyriakos,52
Kyrian,2
Kyrill,2
Kyrillos,20
Kyrre,9
Kürsad,9
Kürsat,16
Kyryl,4
Kyrylo,13
Kyu,3
Kyung,2
Kyösti,103
Kågan,2
Kåge,35
Kål,3
Kåre,577
Käll,16
Kärlis,2
Köksal,17
La,3
Laara,2
Laath,2
Laban,163
Labbe,3
Labeat,3
Labeed,2
Laber,2
Labib,22
Labinot,149
Labros,7
Lac,7
Lachezar,10
Lachin,3
Lachlan,19
Lacin,2
Lacka,2
Lacke,2
Lacki,3
Lackis,4
Lad,2
Ladde,2
Laddi,2
Ladislao,2
Ladislau,14
Ladislaus,2
Ladislav,57
Ladji,2
Lado,5
Laeeq,2
Lael,3
Laël,2
Laem,2
Laercio,3
Laert,2
Laertis,3
Laeth,18
Lafayette,2
Lafi,2
Lafta,2
Lage,567
Lago,4
Lah,2
Lahbib,4
Lahcen,36
Lahcene,3
Lahcéne,2
Lahdi,2
Lahdo,58
Laheeb,4
Lahhoud,3
Lahi,2
Lahib,5
Lahiru,4
Laho,2
Lahod,9
Lahood,4
Lahouari,9
Lahoucine,16
Lahoud,17
Lahoussine,4
Lahsen,5
Lai,16
Laibi,2
Laid,2
Laidon,2
Laieth,3
Laif,3
Laimas,2
Laimis,5
Laimonas,32
Laimonis,3
Laimutis,7
Lain,2
Laine,9
Laion,2
Laiq,3
Lais,24
Laisvunas,2
Laisvydas,2
Laith,507
Laity,2
Lajos,175
Lakhdar,3
Lakhwinder,2
Lakin,2
Lakis,2
Lakmal,2
Lakman,2
Lako,3
Laksh,3
Lakshan,2
Lakshman,5
Lakshmana,5
Lakshmanan,2
Lakshmi,15
Lakshmikanth,2
Lakshminarayanan,2
Lakshya,2
Lal,19
Lala,4
Lalash,2
Lali,2
Lalit,13
Lalith,10
Laljeet,2
Lalji,4
Lalla,3
Lalle,7
Lallo,2
Lalmohammad,2
Lalo,35
Lâm,2
Lam,38
Lamaa,2
Lamar,12
Lambert,12
Lamberto,6
Lambertus,6
Lambrinos,2
Lambros,14
Lameak,2
Lamech,3
Lameck,3
Lamek,81
Lamie,2
Lamiek,26
Lamik,4
Lamin,274
Lamine,48
Lammert,3
Lammi,2
Lammin,2
Lamo,3
Lampros,23
Lan,6
Lance,51
Lancelot,47
Lanco,2
Land,3
Lander,5
Landi,9
Landing,19
Lando,7
Landon,20
Landry,15
Landy,2
Lanfranco,2
Lang,15
Lanko,3
Lanny,15
Lano,30
Lanoo,2
Lanouar,4
Lans,2
Lansana,9
Lanse,4
Lao,3
Laoa,3
Laoan,3
Laoi,2
Laok,4
Laoko,4
Laorent,3
Lap,11
Lapo,2
Laran,3
Larbi,25
Laren,3
Largim,2
Largo,2
Lari,12
Laris,11
Larne,2
Laroy,5
Larre,4
Larri,3
Larry,347
Lars,8360
Lars Allan,6
Lars Anders,56
Lars Arne,32
Lars Arvid,2
Lars Axel,8
Lars Bertil,43
Lars Birger,4
Lars Börje,20
Lars Christer,9
Lars Ebbe,3
Lars Einar,9
Lars Eje,4
Lars Emil,3
Lars Eric,59
Lars Erik,1319
Lars Eve,2
Lars Evert,21
Lars Fredrik,8
Lars Georg,2
Lars Gunnar,480
Lars Gustaf,7
Lars Gustav,9
Lars Göran,1276
Lars Gösta,26
Lars Göte,5
Lars Harry,2
Lars Helge,2
Lars Henning,2
Lars Henric,2
Lars Henrik,42
Lars Henry,3
Lars Hugo,3
Lars Håkan,66
Lars Inge,179
Lars Ingemar,7
Lars Ingmar,2
Lars Ingvar,22
Lars Ivan,6
Lars Ivar,32
Lars Johan,59
Lars Johnny,2
Lars Jonas,6
Lars Jonny,3
Lars Jöran,3
Lars Jörgen,5
Lars Krister,4
Lars Lennart,3
Lars Magnus,23
Lars Martin,7
Lars Michael,2
Lars Miguel,2
Lars Mikael,8
Lars Ola,33
Lars Olav,3
Lars Ole,2
Lars Olle,15
Lars Olof,533
Lars Olov,193
Lars Otto,2
Lars Ove,212
Lars Owe,6
Lars Peder,4
Lars Peter,44
Lars Petter,8
Lars Robert,2
Lars Roger,7
Lars Roland,4
Lars Rune,25
Lars Stefan,4
Lars Thomas,3
Lars Thure,2
Lars Tommy,2
Lars Tony,2
Lars Tore,4
Lars Uno,30
Lars Yngve,7
Lars Åge,2
Lars Åke,848
Lars Örjan,3
Larsa,9
Lars-Aage,2
Lars-Agne,5
Lars-Aine,2
Lars-Allan,11
Lars-Anders,184
Lars-Anton,4
Lars-Arne,134
Lars-Arvid,8
Lars-Axel,31
Lars-Benny,12
Lars-Berne,3
Lars-Bertil,163
Lars-Birger,18
Lars-Bo,2
Lars-Bruno,4
Lars-Börje,68
Lars-Christer,91
Lars-Christian,11
Lars-Conny,6
Lars-Crister,2
Lars-Daniel,6
Lars-David,4
Lars-Ebbe,16
Lars-Edvard,2
Lars-Edvin,5
Lars-Egon,6
Lars-Eie,2
Lars-Eije,2
Lars-Einar,23
Lars-Eje,10
Lars-Ejnar,2
Lars-Eli,2
Lars-Elis,5
Lars-Elof,2
Lars-Emil,10
Larsen,5
Lars-Enar,3
Larseric,12
Lars-Eric,542
Larserik,12
Lars-Erik,4885
Lars-Erland,3
Lars-Erling,2
Lars-Evald,3
Lars-Ewe,3
Lars-Eve,6
Lars-Ewert,4
Lars-Evert,53
Lars-Filip,2
Lars-Folke,6
Lars-Fredrik,26
Lars-Georg,16
Lars-Gerhard,5
LarsGunnar,3
Lars-Gunnar,1272
Lars-Gunne,3
Lars-Gustaf,54
Lars-Gustav,39
Larsgöran,4
Lars-Göran,3411
Lars-Görgen,3
Lars-Gösta,122
Lars-Göte,12
Lars-Harald,2
Lars-Harry,7
Lars-Helge,8
Lars-Helmer,2
Lars-Henric,14
Lars-Henrik,120
Lars-Henry,14
Lars-Herman,3
Lars-Hilding,4
Lars-Holger,5
Lars-Hugo,20
Lars-Håkan,259
Lars-Inge,488
Lars-Ingemar,24
Lars-Ingmar,16
Lars-Ingvar,96
Lars-Isak,4
Lars-Ivan,39
Lars-Iwan,2
Lars-Ivar,98
Lars-Jerker,2
Lars-Jerry,6
Lars-Jimmy,2
Lars-Joakim,3
Lars-Joel,3
Lars-Johan,243
Lars-Johannes,2
Lars-Johnny,3
Lars-Jon,2
Lars-Jonas,16
Lars-Jonny,8
Lars-Jörgen,22
Lars-Kenneth,11
Lars-Kenny,2
Lars-Krister,11
Lars-Kristian,5
Lars-Kåre,2
Lars-Lennart,14
Lars-Magnus,162
Lars-Marcus,5
Lars-Markus,4
Lars-Martin,29
Lars-Mats,2
Lars-Micael,3
Lars-Michael,15
Lars-Mickael,3
Lars-Mikael,38
Lars-Morgan,3
Lars-Mårten,2
Lars-Nicklas,3
Larsola,4
Lars-Ola,217
Lars-Olav,10
Lars-Ole,13
Lars-Olle,64
Larsolof,3
Lars-Olof,2001
Lars-Olov,697
Larsolov,2
Lars-Olow,11
Larsols,3
Larson,2
Lars-Oscar,2
Lars-Oskar,5
Lars-Otto,20
Larsove,2
Lars-Ove,706
Larsowe,3
Lars-Owe,57
Lars-Patrick,2
Lars-Patrik,6
Lars-Paul,2
Lars-Peder,25
Lars-Peter,171
Lars-Pether,3
Lars-Petter,17
Lars-Philip,5
Lars-Ragnar,6
Lars-Reine,4
Lars-Richard,2
Lars-Rickard,3
Lars-Rikard,2
Lars-Robert,17
Lars-Roger,21
Lars-Roine,3
Lars-Roland,25
Lars-Ronnie,3
Lars-Ronny,5
Lars-Rune,75
Lars-Runo,3
Larssa,2
Lars-Sebastian,2
Lars-Staffan,3
Lars-Stefan,9
Lars-Sture,3
Lars-Sune,3
Lars-Thomas,17
Lars-Thure,4
Lars-Tomas,4
Lars-Tommy,20
Lars-Tony,7
Lars-Tore,7
Lars-Torsten,2
Lars-Ture,6
Lars-Ulrik,3
Lars-Uno,66
Lars-Urban,8
Lars-Weine,2
Lars-Verner,2
Lars-Vidar,2
Lars-Wilhelm,4
Lars-Vilhelm,3
Lars-Villy,2
Lars-Willy,4
Lars-Yngve,28
Lars-Åke,2352
Larsåke,13
Lars-Örjan,14
Lars-Östen,3
Larus,5
Lárus,5
Lary,5
Larz,33
Las,41
Lasana,2
Lasaros,3
Lasha,19
Lashkar,2
Lasitha,2
Laskaris,2
Laslo,31
Lass,29
Lassaad,9
Lassana,4
Lassar,2
Lassas,2
Lasse,1300
Lasse-Pekka,2
Lasses,3
Lassi,37
Laszlo,626
Lászlo,6
László,110
Làszlò,2
Laszlo-Attila,2
Lat,2
Lateef,6
Latef,4
Latfullah,2
Lath,2
Lati,2
Latif,181
Latino,4
Latsi,4
Lau,13
Laua,2
Lauan,4
Lauand,11
Lauen,2
Lauge,4
Laui,6
Lauin,9
Lauk,4
Lauko,4
Laur,4
Laura,3
Laurance,2
Laurant,3
Lauras,7
Laurat,2
Laureano,4
Lauren,6
Laurence,65
Laurens,22
Laurent,156
Laurentin,2
Laurentiu,74
Laurentiu-Ionut,4
Laurentiu-Nicolae,2
Laurentius,6
Laurentiu-Valentin,2
Laurents,3
Laurentz,4
Laurenz,7
Lauri,386
Laurian,3
Laurids,6
Laurie,6
Laurin,5
Lauris,28
Laurits,14
Lauritz,31
Lauro,13
Laurus,2
Laurynas,37
Laus,2
Laust,4
Lautaro,32
Lauy,3
Lav,9
Law,10
Lawa,6
Lava,2
Lawal,2
Lavan,19
Lawan,33
Lavand,23
Lawand,110
Lavant,2
Lavdim,66
Lavdrim,8
Lawe,9
Lave,78
Laween,11
Lawek,7
Lawen,17
Lavend,5
Lawend,16
Lawer,2
Lavesh,2
Lavi,5
Lawi,49
Lavie,3
Lavin,27
Lawin,99
Lavinel,6
Lawk,11
Lawko,6
Lawnd,3
Lavnd,3
Lawran,2
Lawrance,3
Lawrence,187
Lavrentiy,2
Lawson,5
Lawy,4
Laxman,7
Laxmi,2
Lay,7
Layan,3
Laye,5
Layne,3
Lays,2
Layth,168
Layton,7
Laz,2
Laza,2
Lazar,241
Lazare,5
Lázaro,9
Lazaro,16
Lazaros,69
Lazarus,8
Laze,5
Lazem,3
Lazer,2
Lazgeen,4
Lazgin,9
Lazhar,9
Lazim,5
Laziz,5
Lazizbek,2
Lazkin,6
Lazlo,3
Lazo,46
Lazslo,4
Lazze,4
Le,61
Lê,3
Lea,4
Lead,2
Leake,3
Leakim,5
Leam,19
Lean,14
Leander,96
Leandre,3
Leandro,430
Léandro,3
Leandros,22
Leanid,3
Lear,5
Leard,8
Leart,130
Leas,3
Leath,4
Leban,3
Lebario,9
Lebaryo,2
Lebohang,2
Lech,73
Lecha,5
Ledian,11
Ledijon,2
Ledio,5
Ledion,105
Ledjo,2
Ledjon,3
Ledri,30
Ledrian,2
Ledrián,2
Lee,368
Leeam,9
Leela,8
Lee-Laur,2
Leeloo,3
Leemar,2
Leendert,12
Leeo,8
Leeon,13
Leeroy,14
Lee-Roy,2
Leeth,2
Leevi,110
Leffe,11
Lefter,8
Lefteris,10
Legend,3
Legenden,3
Legesse,2
Lego,3
Legolas,14
Lehan,2
Lehat,20
Lehel,16
Leheng,2
Lehman,2
Leho,2
Lehon,3
Lei,79
Leidulf,2
Leif,3083
Leif Anders,6
Leif Arne,14
Leif Bertil,2
Leif Erik,5
Leif Gunnar,5
Leif Göran,16
Leif Inge,9
Leif Ove,6
Leif Rune,2
Leif Åke,39
Leif-Anders,11
Leif-Arne,64
Leif-Axel,2
Leif-Bertil,3
Leif-Bruno,2
Leif-Börje,2
Leif-Christer,3
Leif-Egon,3
Leif-Elof,2
Leifeng,2
Leif-Eric,8
Leif-Erik,67
Leif-Evert,3
Leif-Gunnar,19
Leif-Göran,73
Leif-Gösta,2
Leifh,6
Leif-Harald,2
Leif-Henry,3
Leif-Håkan,5
Leif-Inge,19
Leif-Kenneth,2
Leif-Mikael,3
Leif-Ole,3
Leif-Olof,17
Leif-Olov,8
Leif-Ove,15
Leif-Peter,4
Leif-Rune,4
Leif-Sören,2
Leif-Tore,3
Leifur,4
Leif-Åke,104
Leigh,18
Leighton,3
Leihf,2
Leijf,2
Leilei,4
Leiler,2
Leine,7
Leiner,6
Leino,9
Leio,2
Leion,5
Leis,23
Leith,115
Leito,2
Leiton,4
Leiv,4
Leiwi,2
Lejf,33
Lejo,4
Lejon,3
Lejonel,2
Lejs,6
Lek,6
Lekatt,2
Leke,2
Lekë,2
Leland,2
Lele,3
Lelle,19
Lellen,2
Lema,4
Leman,2
Lemar,12
Lemarc,2
Lembit,36
Lemek,4
Lemmy,60
Lemon,2
Lémon,3
Lemuel,10
Len,17
Lena,3
Lenard,10
Lenardo,2
Lenart,13
Lend,7
Lendi,9
Lendion,2
Lendrit,5
Lendy,2
Leni,9
Lenin,12
Lenko,3
Lenn,36
Lenna,2
Lennaert,2
Lennar,2
Lennard,19
Lennart,2976
Lennarth,129
Lenne,7
Lennert,7
Lenni,42
Lennie,273
Lennin,2
Lennon,291
Lennox,673
Lenny,346
Leno,2
Lenox,11
Lens,2
Lenton,9
Lenz,2
Leo,1724
Leó,4
Léo,73
Leoart,5
Leobert,2
Leodin,3
Leodor,3
Leoh,14
Leon,7154
Lèon,3
León,247
Leòn,4
Léon,561
Leonaidas,2
Leonard,1702
Leonárd,3
Léonard,14
Leonardas,7
Leonarde,2
Leonardo,1141
Léonardo,2
Leonardus,17
Leonart,4
Leonas,19
Leonce,5
Leoncio,6
Leond,2
Leondios,2
Leone,16
Leonel,531
Leonél,4
Léonel,11
Leonell,72
Leonéll,2
Leonhard,25
Leoni,7
Leonic,2
Leonid,134
Leonida,7
Leonidas,284
Léonidas,4
Leonidaz,2
Leonides,2
Leonidha,5
Leonids,7
Leonik,2
Leonis,29
Leonit,47
Leonor,5
Leons,2
Leonte,5
Leontin,25
Leontino,2
Leontinus,2
Leo-Paul,2
Leopaul,2
Leopauld,2
Leopold,575
Léopold,16
Leopoldo,24
Leor,6
Leorent,5
Leos,4
Leotrim,65
Leoul,4
Leovin,2
Ler,6
Leri,4
Lernik,4
Lerny,2
Leron,5
Leroy,62
Le-Roy,3
Lerry,3
Lesandro,2
Leslaw,19
Lesley,10
Lesli,2
Leslie,97
Lesly,4
Lessly,2
Lester,41
Leszek,306
Leth,4
Letian,4
Leto,2
Letu,2
Leul,17
Leung,2
Leunit,2
Leutrim,89
Lew,4
Lev,74
Lewa,2
Lewaa,4
Levan,28
Lewand,3
Levani,6
Levant,2
Lewar,4
Levar,6
Lewen,2
Leven,5
Levend,7
Lewend,16
Levent,139
Levente,108
Lewhat,2
Levi,1780
Lewi,125
Lévi,3
Lewian,2
Levie,2
Lewie,4
Levih,3
Levin,97
Lewin,20
Levis,237
Lewis,223
Lewiz,3
Levko,2
Levon,101
Levón,2
Lewon,5
Lévon,3
Levy,13
Lex,251
Lexi,3
Lexian,5
Lexington,2
Lexius,2
Lexus,96
Lexuz,3
Lexx,6
Lexxus,2
Ley,6
Leyad,2
Leyan,3
Leyang,2
Leyf,2
Leyi,2
Leykun,2
Leyl,2
Leyon,5
Leyth,5
Leyton,19
Lezan,12
Lezgin,8
Lezhi,2
Lezlie,2
Lezma,2
LG,2
Lheo,7
Lhiam,2
Li,64
Liaam,3
Liaghat,3
Liahm,2
Liahs,3
Liam,1065
Liamh,4
Liamo,2
Lian,167
Liander,2
Liandro,4
Liang,63
Liangchao,2
Liangjun,2
Liangliang,3
Liangqi,2
Liangyu,3
Lianying,2
Liaqat,31
Liaquat,9
Liard,2
Lias,631
Liaz,35
Libaan,21
Liban,431
Libang,2
Libaryo,2
Liben,5
Liber,8
Liberato,3
Libero,9
Libert,2
Liberth,2
Liberty,2
Libin,2
Libo,3
Libor,10
Liburn,10
Lica,5
Lichao,2
Lichun,2
Li-Chung,2
Licinio,2
Lidas,2
Lider,3
Lidio,2
Lidong,6
Lie,4
Liel,3
Liem,5
Lien,4
Lieo,2
Lies,4
Liet,3
Lieth,4
Lieuwe,2
Liewi,2
Life,2
Lifeng,5
Lifu,2
Ligang,2
Liggjas,2
Light,2
Liguo,2
Liham,2
Lihan,2
Lihao,2
Liheng,2
Lihon,4
Lihong,3
Lihua,2
Lihui,3
Liiam,4
Liian,2
Liias,2
Liibaan,57
Liiban,50
Liinus,2
Liion,8
Lijam,2
Lijan,3
Lijia,2
Lijie,3
Lijo,3
Lijon,11
Liju,2
Lijun,4
Likai,2
Likang,2
Likhit,4
Likhith,2
Likith,3
Likun,2
Lilas,2
Lilian,7
Liljar,2
Lilje,3
Lille,2
Lillebjörn,2
Lillebror,42
Lille-Bror,11
Lilleman,7
Lillen,11
Lillis,7
Lilly,2
Lilo,14
Lily,3
Lim,5
Liman,15
Limar,4
Limbert,2
Lime,2
Liming,9
Li-Ming,2
Limon,7
Limor,9
Limpan,2
Limuel,2
Lin,45
Lina,3
Linar,6
Linard,4
Linardas,3
Linards,4
Linas,80
Lincoln,129
Lincon,12
Lind,5
Linda,3
Linde,27
Lindelo,3
Linde-Lou,3
Linden,3
Linder,5
Lindi,6
Lindim,4
Lindon,14
Lindor,12
Lindri,2
Lindrit,10
Lindsay,12
Lindsey,2
Lindy,11
Linfan,2
Linfeng,6
Ling,12
Lingard,2
Lingfei,3
Lingfeng,6
Lingjie,4
Lingjun,3
Lingwei,4
Lingye,2
Lingyong,4
Lingyu,4
Linh,11
Linhang,2
Linjie,3
Link,71
Linkan,2
Linken,2
Linn,8
Linnar,12
Linné,27
Linnea,2
Linnéa,2
Lino,107
Linor,11
Linos,4
Linton,116
Linu,2
Linus,1945
Linux,6
Linuz,99
Linwei,2
Linxiang,2
Lio,69
Lion,619
Líon,2
Lionardo,2
Lionel,797
Lionél,7
Lionell,38
Lionello,3
Lionnel,4
Lior,31
Lip,2
Lipeng,3
Lipton,9
Liqing,2
Liqun,3
Lirak,8
Liri,2
Lirian,6
Liridon,203
Lirigzon,4
Lirijon,3
Lirik,3
Lirim,43
Lirion,3
Lirjan,2
Lirjon,6
Liro,2
Liron,7
Lis,9
Lisa,4
Lisander,3
Lisandro,26
Lisbet,3
Lishanth,2
Lisheng,4
Lisi,5
Lisien,2
Liss,47
Liss Olof,4
Lissandro,4
Lissdaniels,2
Lissdanils,3
Liss-Eric,2
Liss-Erik,3
Lissnils,3
Liss-Olof,3
Liston,19
Litao,2
Lith,10
Lito,3
Liton,10
Liubomyr,2
Liudas,11
Liudvikas,4
Liul,2
Liule,2
Liutauras,14
Liuyi,2
Liv,4
Liwa,2
Liwaa,11
Livan,9
Livar,10
Liwei,7
Liven,2
Liwen,2
Liver,5
Livian,3
Livingstone,3
Livinus,3
Livio,29
Liwis,2
Liviu,70
Liviu-Cristian,2
Livius,6
Liwiz,2
Livon,8
Lixin,5
Liyaghat,3
Liyam,9
Liyan,7
Liyang,4
Liye,2
Liyon,11
Liyong,5
Liyu,3
Liyuan,2
Lizan,2
Lizandro,9
Lizhong,3
Lizhou,2
Lizz,3
Ljabinot,3
Ljatif,10
Ljavdim,10
Ljazim,3
Ljeutrim,2
Ljiljan,3
Ljiridon,6
Ljirim,2
Ljuan,6
Ljuba,2
Ljuban,22
Ljube,18
Ljuben,4
Ljubinko,8
Ljubisa,126
Ljubisav,13
Ljubisha,2
Ljubivoje,5
Ljubo,23
Ljubodrag,6
Ljubomir,107
Ljuljzim,7
Ljulzim,2
Ljupce,7
Ljupche,2
Ljupcho,8
Ljupco,42
Ljupko,13
Ljutica,5
Ljutvi,2
Ljuzim,2
Lkhagva,2
Lkhagvabayar,2
Lkhagvadorj,3
Lkhagva-Ochir,3
Lkhagvasuren,10
Llazi,2
Llewellyn,4
Llewyn,3
Lleyton,4
Lloyd,71
Lluc,3
Lluis,8
Llukman,3
Llyr,2
Lmar,3
Lo,452
Lo Adrian,2
Loa,447
Loae,6
Loaee,2
Loah,67
Loai,68
Loaiy,2
Loaj,5
Loan,9
Loant,2
Loar,5
Loay,101
Lobjörn,2
Lobo,3
Lobsang,5
Loc,9
Lochlan,7
Locke,4
Loco,2
Lode,6
Lodewijk,2
Lodovico,2
Lodur,2
Loe,100
Loé,2
Loei,4
Loel,4
Loen,2
Loén,2
Loey,7
Loffe,10
Loftur,2
Lofve,2
Logan,167
Loganathan,2
Logesh,4
Loghman,21
Logi,6
Logman,4
Loh,2
Loham,2
Lohan,5
Lohit,2
Lohith,5
Loi,28
Loïc,24
Loic,26
Loie,12
Lois,22
Loizos,3
Lok,5
Loka,2
Loke,3862
Lokesh,19
Lokeshwaran,2
Lokhman,2
Loki,31
Lokman,82
